family,n_sites,instance_id,graph_seed,realization,disorder_seed,disorder_strength_over_coupling,target_style,initial_site,trap_site,dephasing_over_coupling,arrival,sink_hitting_time_filled,loss_population,network_population,mean_coherence_l1,final_entropy,participation_ratio,max_trace_deviation,max_population_closure_error,min_state_eigenvalue,topology_n_sites,topology_n_edges,topology_density,topology_mean_degree,topology_std_degree,topology_initial_degree,topology_target_degree,topology_target_betweenness,topology_target_closeness,topology_initial_target_distance,topology_modularity_approx,topology_spectral_radius,topology_spectral_gap,topology_spectral_degeneracy_approx,topology_spectral_initial_target_overlap,topology_target_mode_weight_ipr,zero_dephasing_arrival,dephasing_gain
modular_two_community,10,modular_two_community_N10_r0_s108464_edge-unweighted,108464,0,5,0.4,far,9,3,0.2,0.2695303911039965,4.050632911392405,0.15690093919715004,0.5735686696988518,2.306950112966825,1.9674623622636784,7.137741898156038,1.6653345369377348e-15,1.5543122344752192e-15,0.0,10.0,20.0,0.4444444444444444,4.0,0.7745966692414834,3.0,3.0,0.0,0.391304347826087,4.0,0.4,4.146095868563208,0.7833016444253658,3.0,0.48827169996456515,0.18596875546848946,0.24475617437747604,0.02477421672652047
modular_two_community,10,modular_two_community_N10_r0_s108464_edge-unweighted,108464,0,3,0.8,far,9,3,0.2,0.25588332853033074,4.810126582278482,0.15977169882743728,0.584344972642231,2.370172161762271,1.9990272883213045,7.360536843532682,1.4432899320127035e-15,1.4432899320127035e-15,0.0,10.0,20.0,0.4444444444444444,4.0,0.7745966692414834,3.0,3.0,0.0,0.391304347826087,4.0,0.4,4.146095868563208,0.7833016444253658,3.0,0.48827169996456515,0.18596875546848946,0.23909923956247436,0.01678408896785638
modular_two_community,10,modular_two_community_N10_r0_s108464_edge-unweighted,108464,0,5,0.8,far,9,3,0.0,0.32470644812700206,3.1645569620253164,0.1506431318431716,0.5246504200298249,4.541289927755956,2.576238516458741e-10,5.160820133864638,1.5543122344752192e-15,1.5543122344752192e-15,-9.11337244526073e-16,10.0,20.0,0.4444444444444444,4.0,0.7745966692414834,3.0,3.0,0.0,0.391304347826087,4.0,0.4,4.146095868563208,0.7833016444253658,3.0,0.48827169996456515,0.18596875546848946,0.32470644812700206,0.0
modular_two_community,10,modular_two_community_N10_r0_s108464_edge-unweighted,108464,0,3,0.0,high_centrality,9,1,0.8,0.3071327980127997,3.5443037974683547,0.15260722765636578,0.5402599743308348,0.9754661767773992,2.2667777852755338,9.57402987694252,6.661338147750939e-16,8.881784197001252e-16,0.0,10.0,20.0,0.4444444444444444,4.0,0.7745966692414834,3.0,5.0,0.5555555555555556,0.6923076923076923,2.0,0.4,4.146095868563208,0.7833016444253658,3.0,0.566962027712984,0.3205500793636761,0.2068422013595543,0.10029059665324538
modular_two_community,10,modular_two_community_N10_r0_s108464_edge-unweighted,108464,0,5,0.0,high_centrality,9,1,0.8,0.3071327980127997,3.5443037974683547,0.15260722765636578,0.5402599743308348,0.9754661767773992,2.2667777852755338,9.57402987694252,6.661338147750939e-16,8.881784197001252e-16,0.0,10.0,20.0,0.4444444444444444,4.0,0.7745966692414834,3.0,5.0,0.5555555555555556,0.6923076923076923,2.0,0.4,4.146095868563208,0.7833016444253658,3.0,0.566962027712984,0.3205500793636761,0.2068422013595543,0.10029059665324538
modular_two_community,10,modular_two_community_N10_r0_s108464_edge-unweighted,108464,0,3,0.4,high_centrality,9,1,0.8,0.31014616629779335,3.5443037974683547,0.15237729031779101,0.5374765433844164,0.9793099399107122,2.2677997651927377,9.585161221667514,8.881784197001252e-16,8.881784197001252e-16,0.0,10.0,20.0,0.4444444444444444,4.0,0.7745966692414834,3.0,5.0,0.5555555555555556,0.6923076923076923,2.0,0.4,4.146095868563208,0.7833016444253658,3.0,0.566962027712984,0.3205500793636761,0.22058910024543604,0.0895570660523573
modular_two_community,10,modular_two_community_N10_r0_s108464_edge-unweighted,108464,0,5,0.4,high_centrality,9,1,0.8,0.3159253006936941,3.417721518987342,0.1515957930806384,0.5324789062256687,0.9784826867901788,2.272053575920113,9.653426648814637,1.3322676295501878e-15,1.3322676295501878e-15,0.0,10.0,20.0,0.4444444444444444,4.0,0.7745966692414834,3.0,5.0,0.5555555555555556,0.6923076923076923,2.0,0.4,4.146095868563208,0.7833016444253658,3.0,0.566962027712984,0.3205500793636761,0.22713440330462278,0.08879089738907134
modular_two_community,10,modular_two_community_N10_r0_s108464_edge-unweighted,108464,0,3,0.8,high_centrality,9,1,1.4,0.3064917658605629,3.5443037974683547,0.1531568444173083,0.540351389722128,0.687940075391243,2.2782214848909623,9.662697109379458,8.881784197001252e-16,9.992007221626409e-16,0.0,10.0,20.0,0.4444444444444444,4.0,0.7745966692414834,3.0,5.0,0.5555555555555556,0.6923076923076923,2.0,0.4,4.146095868563208,0.7833016444253658,3.0,0.566962027712984,0.3205500793636761,0.24844949146705808,0.058042274393504845
modular_two_community,10,modular_two_community_N10_r0_s108464_edge-unweighted,108464,0,5,0.8,high_centrality,9,1,0.8,0.31925692990685267,3.1645569620253164,0.15067113138242233,0.5300719387107257,0.9918354634727553,2.275440003869006,9.70498444775895,8.881784197001252e-16,8.881784197001252e-16,0.0,10.0,20.0,0.4444444444444444,4.0,0.7745966692414834,3.0,5.0,0.5555555555555556,0.6923076923076923,2.0,0.4,4.146095868563208,0.7833016444253658,3.0,0.566962027712984,0.3205500793636761,0.27808814047410463,0.04116878943274804
modular_two_community,10,modular_two_community_N10_r0_s108464_edge-unweighted,108464,0,3,0.0,low_centrality,9,3,0.8,0.2578308932766294,4.556962025316456,0.15935705176187578,0.5828120549614942,1.026786617192275,2.2619319326890723,9.51624864443541,6.661338147750939e-16,5.551115123125783e-16,0.0,10.0,20.0,0.4444444444444444,4.0,0.7745966692414834,3.0,3.0,0.0,0.391304347826087,4.0,0.4,4.146095868563208,0.7833016444253658,3.0,0.48827169996456515,0.18596875546848946,0.1867644482039645,0.07106644507266488
