campaign,profile,family,family_class,n_sites,realization,target_styles_requested,unique_targets_used,disorder_values,disorder_seeds,gamma_values,time_samples,records,quantum_simulations,classical_simulations,estimated_cost_units,edge_count,density,mean_degree,max_degree,unique_candidate_targets,duplicate_target_styles,edge_models
dynamic_network_atlas,strong,watts_strogatz_small_world,random_graph,10,6,4,3,5,16,8,180,240,1920,240,3185049600.0,20.0,0.4444444444444444,4.0,6.0,3.0,1.0,
dynamic_network_atlas,strong,watts_strogatz_small_world,random_graph,10,7,4,4,5,16,8,180,320,2560,320,4246732800.0,20.0,0.4444444444444444,4.0,6.0,4.0,0.0,
dynamic_network_atlas,strong,watts_strogatz_small_world,random_graph,10,8,4,3,5,16,8,180,240,1920,240,3185049600.0,20.0,0.4444444444444444,4.0,5.0,3.0,1.0,
dynamic_network_atlas,strong,watts_strogatz_small_world,random_graph,10,9,4,4,5,16,8,180,320,2560,320,4246732800.0,20.0,0.4444444444444444,4.0,5.0,4.0,0.0,
dynamic_network_atlas,strong,watts_strogatz_small_world,random_graph,10,10,4,3,5,16,8,180,240,1920,240,3185049600.0,20.0,0.4444444444444444,4.0,5.0,3.0,1.0,
dynamic_network_atlas,strong,watts_strogatz_small_world,random_graph,10,11,4,2,5,16,8,180,160,1280,160,2123366400.0,20.0,0.4444444444444444,4.0,5.0,2.0,2.0,
dynamic_network_atlas,strong,watts_strogatz_small_world,random_graph,12,0,4,3,5,16,8,180,240,1920,240,4827843490.909091,24.0,0.36363636363636365,4.0,6.0,3.0,1.0,
dynamic_network_atlas,strong,watts_strogatz_small_world,random_graph,12,1,4,3,5,16,8,180,240,1920,240,4827843490.909091,24.0,0.36363636363636365,4.0,5.0,3.0,1.0,
dynamic_network_atlas,strong,watts_strogatz_small_world,random_graph,12,2,4,3,5,16,8,180,240,1920,240,4827843490.909091,24.0,0.36363636363636365,4.0,5.0,3.0,1.0,
dynamic_network_atlas,strong,watts_strogatz_small_world,random_graph,12,3,4,3,5,16,8,180,240,1920,240,4827843490.909091,24.0,0.36363636363636365,4.0,5.0,3.0,1.0,
dynamic_network_atlas,strong,watts_strogatz_small_world,random_graph,12,4,4,4,5,16,8,180,320,2560,320,6437124654.545455,24.0,0.36363636363636365,4.0,6.0,4.0,0.0,
dynamic_network_atlas,strong,watts_strogatz_small_world,random_graph,12,5,4,3,5,16,8,180,240,1920,240,4827843490.909091,24.0,0.36363636363636365,4.0,6.0,3.0,1.0,
dynamic_network_atlas,strong,watts_strogatz_small_world,random_graph,12,6,4,3,5,16,8,180,240,1920,240,4827843490.909091,24.0,0.36363636363636365,4.0,6.0,3.0,1.0,
dynamic_network_atlas,strong,watts_strogatz_small_world,random_graph,12,7,4,3,5,16,8,180,240,1920,240,4827843490.909091,24.0,0.36363636363636365,4.0,6.0,3.0,1.0,
dynamic_network_atlas,strong,watts_strogatz_small_world,random_graph,12,8,4,4,5,16,8,180,320,2560,320,6437124654.545455,24.0,0.36363636363636365,4.0,6.0,4.0,0.0,
dynamic_network_atlas,strong,watts_strogatz_small_world,random_graph,12,9,4,4,5,16,8,180,320,2560,320,6437124654.545455,24.0,0.36363636363636365,4.0,5.0,4.0,0.0,
dynamic_network_atlas,strong,watts_strogatz_small_world,random_graph,12,10,4,4,5,16,8,180,320,2560,320,6437124654.545455,24.0,0.36363636363636365,4.0,5.0,4.0,0.0,
dynamic_network_atlas,strong,watts_strogatz_small_world,random_graph,12,11,4,2,5,16,8,180,160,1280,160,3218562327.2727275,24.0,0.36363636363636365,4.0,5.0,2.0,2.0,
dynamic_network_atlas,strong,barabasi_albert_scale_free,random_graph,8,0,4,2,5,16,8,180,160,1280,160,987428571.4285713,12.0,0.42857142857142855,3.0,5.0,2.0,2.0,
dynamic_network_atlas,strong,barabasi_albert_scale_free,random_graph,8,1,4,3,5,16,8,180,240,1920,240,1481142857.142857,12.0,0.42857142857142855,3.0,5.0,3.0,1.0,
dynamic_network_atlas,strong,barabasi_albert_scale_free,random_graph,8,2,4,3,5,16,8,180,240,1920,240,1481142857.142857,12.0,0.42857142857142855,3.0,6.0,3.0,1.0,
dynamic_network_atlas,strong,barabasi_albert_scale_free,random_graph,8,3,4,3,5,16,8,180,240,1920,240,1481142857.142857,12.0,0.42857142857142855,3.0,5.0,3.0,1.0,
dynamic_network_atlas,strong,barabasi_albert_scale_free,random_graph,8,4,4,3,5,16,8,180,240,1920,240,1481142857.142857,12.0,0.42857142857142855,3.0,4.0,3.0,1.0,
dynamic_network_atlas,strong,barabasi_albert_scale_free,random_graph,8,5,4,3,5,16,8,180,240,1920,240,1481142857.142857,12.0,0.42857142857142855,3.0,5.0,3.0,1.0,
dynamic_network_atlas,strong,barabasi_albert_scale_free,random_graph,8,6,4,3,5,16,8,180,240,1920,240,1481142857.142857,12.0,0.42857142857142855,3.0,5.0,3.0,1.0,
dynamic_network_atlas,strong,barabasi_albert_scale_free,random_graph,8,7,4,3,5,16,8,180,240,1920,240,1481142857.142857,12.0,0.42857142857142855,3.0,5.0,3.0,1.0,
dynamic_network_atlas,strong,barabasi_albert_scale_free,random_graph,8,8,4,3,5,16,8,180,240,1920,240,1481142857.142857,12.0,0.42857142857142855,3.0,6.0,3.0,1.0,
dynamic_network_atlas,strong,barabasi_albert_scale_free,random_graph,8,9,4,3,5,16,8,180,240,1920,240,1481142857.142857,12.0,0.42857142857142855,3.0,5.0,3.0,1.0,
dynamic_network_atlas,strong,barabasi_albert_scale_free,random_graph,8,10,4,2,5,16,8,180,160,1280,160,987428571.4285713,12.0,0.42857142857142855,3.0,7.0,2.0,2.0,
dynamic_network_atlas,strong,barabasi_albert_scale_free,random_graph,8,11,4,3,5,16,8,180,240,1920,240,1481142857.142857,12.0,0.42857142857142855,3.0,7.0,3.0,1.0,
dynamic_network_atlas,strong,barabasi_albert_scale_free,random_graph,10,0,4,4,5,16,8,180,320,2560,320,3397386240.0,16.0,0.35555555555555557,3.2,6.0,4.0,0.0,
dynamic_network_atlas,strong,barabasi_albert_scale_free,random_graph,10,1,4,4,5,16,8,180,320,2560,320,3397386240.0,16.0,0.35555555555555557,3.2,7.0,4.0,0.0,
dynamic_network_atlas,strong,barabasi_albert_scale_free,random_graph,10,2,4,3,5,16,8,180,240,1920,240,2548039680.0,16.0,0.35555555555555557,3.2,7.0,3.0,1.0,
dynamic_network_atlas,strong,barabasi_albert_scale_free,random_graph,10,3,4,3,5,16,8,180,240,1920,240,2548039680.0,16.0,0.35555555555555557,3.2,6.0,3.0,1.0,
dynamic_network_atlas,strong,barabasi_albert_scale_free,random_graph,10,4,4,3,5,16,8,180,240,1920,240,2548039680.0,16.0,0.35555555555555557,3.2,8.0,3.0,1.0,
dynamic_network_atlas,strong,barabasi_albert_scale_free,random_graph,10,5,4,2,5,16,8,180,160,1280,160,1698693120.0,16.0,0.35555555555555557,3.2,7.0,2.0,2.0,
dynamic_network_atlas,strong,barabasi_albert_scale_free,random_graph,10,6,4,3,5,16,8,180,240,1920,240,2548039680.0,16.0,0.35555555555555557,3.2,6.0,3.0,1.0,
dynamic_network_atlas,strong,barabasi_albert_scale_free,random_graph,10,7,4,4,5,16,8,180,320,2560,320,3397386240.0,16.0,0.35555555555555557,3.2,6.0,4.0,0.0,
dynamic_network_atlas,strong,barabasi_albert_scale_free,random_graph,10,8,4,3,5,16,8,180,240,1920,240,2548039680.0,16.0,0.35555555555555557,3.2,5.0,3.0,1.0,
dynamic_network_atlas,strong,barabasi_albert_scale_free,random_graph,10,9,4,3,5,16,8,180,240,1920,240,2548039680.0,16.0,0.35555555555555557,3.2,5.0,3.0,1.0,
dynamic_network_atlas,strong,barabasi_albert_scale_free,random_graph,10,10,4,3,5,16,8,180,240,1920,240,2548039680.0,16.0,0.35555555555555557,3.2,5.0,3.0,1.0,
dynamic_network_atlas,strong,barabasi_albert_scale_free,random_graph,10,11,4,2,5,16,8,180,160,1280,160,1698693120.0,16.0,0.35555555555555557,3.2,7.0,2.0,2.0,
