record_id,family,n_sites,instance_id,target_style,trap_site,disorder_strength_over_coupling,disorder_seed,best_arrival,classical_arrival,quantum_minus_classical,qc_case_label
ring_N8_r0_s9308_target-far_W0.600_seed7,ring,8,ring_N8_r0_s9308,far,3,0.6,7,0.5619826932542945,0.23514051899867913,0.32684217425561535,quantum_higher
ring_N8_r0_s9308_target-far_W0.600_seed11,ring,8,ring_N8_r0_s9308,far,3,0.6,11,0.6052257628123949,0.23514051899867913,0.37008524381371577,quantum_higher
ring_N8_r0_s9308_target-far_W0.600_seed13,ring,8,ring_N8_r0_s9308,far,3,0.6,13,0.5781373519714769,0.23514051899867913,0.3429968329727977,quantum_higher
ring_N8_r0_s9308_target-far_W0.600_seed17,ring,8,ring_N8_r0_s9308,far,3,0.6,17,0.4960312412810357,0.23514051899867913,0.26089072228235655,quantum_higher
ring_N8_r0_s9308_target-far_W0.900_seed3,ring,8,ring_N8_r0_s9308,far,3,0.9,3,0.507966956369468,0.23514051899867913,0.2728264373707888,quantum_higher
ring_N8_r0_s9308_target-far_W0.900_seed5,ring,8,ring_N8_r0_s9308,far,3,0.9,5,0.5019255052770747,0.23514051899867913,0.26678498627839553,quantum_higher
ring_N8_r0_s9308_target-far_W0.900_seed7,ring,8,ring_N8_r0_s9308,far,3,0.9,7,0.552120973346204,0.23514051899867913,0.31698045434752486,quantum_higher
ring_N8_r0_s9308_target-far_W0.900_seed11,ring,8,ring_N8_r0_s9308,far,3,0.9,11,0.4990363468901935,0.23514051899867913,0.26389582789151433,quantum_higher
ring_N8_r0_s9308_target-far_W0.900_seed13,ring,8,ring_N8_r0_s9308,far,3,0.9,13,0.3900369643135064,0.23514051899867913,0.15489644531482724,quantum_higher
ring_N8_r0_s9308_target-far_W0.900_seed17,ring,8,ring_N8_r0_s9308,far,3,0.9,17,0.4277355994108686,0.23514051899867913,0.19259508041218945,quantum_higher
ring_N8_r0_s9308_target-far_W1.200_seed3,ring,8,ring_N8_r0_s9308,far,3,1.2,3,0.5006142894701257,0.23514051899867913,0.2654737704714465,quantum_higher
ring_N8_r0_s9308_target-far_W1.200_seed5,ring,8,ring_N8_r0_s9308,far,3,1.2,5,0.3732476190960926,0.23514051899867913,0.13810710009741348,quantum_higher
ring_N8_r0_s9308_target-far_W1.200_seed7,ring,8,ring_N8_r0_s9308,far,3,1.2,7,0.5038730336836278,0.23514051899867913,0.26873251468494863,quantum_higher
